	index	billing_country	coupon	order_item	paid_date	course_category	order_id	salesperson	price
0	0	CL		Specials	2021-05-25 16:22:37+00:00	none	4786289	Romualdo Corina Irma	20.0
1	1	CL		Specials	2021-05-25 16:22:37+00:00	none	4786289	Romualdo Corina Irma	20.0
2	2	CL		Specials	2021-05-25 16:22:37+00:00	none	4786289	Romualdo Corina Irma	20.0
3	3	CL		Specials	2021-05-25 21:29:28+00:00	none	4788366	Romualdo Corina Irma	20.0
4	4	CL		Specials	2021-05-25 21:29:28+00:00	none	4788366	Romualdo Corina Irma	20.0
5	5	CL		Specials	2021-05-25 21:29:28+00:00	none	4788366	Romualdo Corina Irma	20.0
6	6	PE		Speaking Advanced Level 2 (SPKA2)	2021-05-27 02:30:03+00:00	none	4798942	Ovidia Arsenio Maxi	10.0
7	7	PE		Speaking Intermediate Level 3 (SPKI3)	2021-05-27 02:36:19+00:00	none	4799219	Ovidia Arsenio Maxi	10.0
8	8	CL		English Intermediate Level 5 (ESLI5)	2021-05-27 16:06:17+00:00	esl	4799836	José María Yasmina María Belén	10.0
9	9	PE		English Basic Level 4 (ESLB4)	2021-05-28 00:30:52+00:00	esl	4800394	Ovidia Arsenio Maxi	10.0
10	10	CL		English Intermediate Level 4  (ESLI4)	2021-05-28 01:41:31+00:00	esl	4800446	José María Yasmina María Belén	10.0
11	11	MX		English Intermediate Level 7 (ESLI7)	2021-05-28 05:04:54+00:00	esl	4800583	Osvaldo Lucrecia Priscila	10.0
12	12	MX		English Intermediate Level 7 (ESLI7)	2021-05-28 05:06:49+00:00	esl	4800638	Osvaldo Lucrecia Priscila	10.0
13	13	MX		Speaking Intermediate Level 3 (SPKI3)	2021-05-28 19:31:54+00:00	none	4805643	Osvaldo Lucrecia Priscila	10.0
14	14	EC	ecudjfree	English Intermediate Level 7 (ESLI7)	2021-05-28 22:29:07+00:00	esl	4805733	José María Yasmina María Belén	0.0
15	15	PE	permnfree	English Intermediate Level 6 (ESLI6)	2021-05-29 01:43:39+00:00	esl	4805818	Ovidia Arsenio Maxi	0.0
16	16	PE		Specials	2021-05-29 01:49:38+00:00	none	4805900	Romualdo Corina Irma	20.0
17	17	PE		Specials	2021-05-29 01:49:38+00:00	none	4805900	Romualdo Corina Irma	20.0
18	18	MX		English Intermediate Level 7 (ESLI7)	2021-05-29 02:13:51+00:00	esl	4806008	Osvaldo Lucrecia Priscila	10.0
19	19	MX		English Advanced Level 2 (ESLA2)	2021-05-29 02:22:52+00:00	esl	4806118	Osvaldo Lucrecia Priscila	10.0
20	20	CL		Speaking Intermediate Level 3 (SPKI3)	2021-05-29 02:37:59+00:00	none	4806238	Romualdo Corina Irma	10.0
21	21	ID	indvofree	Conversation - Advanced level - June (CONV-A)	2021-05-29 14:26:21+00:00	con	4806435	Ovidia Arsenio Maxi	0.0
22	22	EC		English Advanced Level 4 (ESLA4)	2021-05-29 23:57:31+00:00	esl	4807451	Romualdo Corina Irma	10.0
23	23	CL		English Intermediate Level 4  (ESLI4)	2021-05-30 00:42:12+00:00	esl	4807573	Lorenzo Casilda Rosita	10.0
24	24	BO		English for Kids - June (EFK)	2021-05-30 12:10:53+00:00	efk	4809571	Ovidia Arsenio Maxi	10.0
